 "mw" , "g" , "gl" ,
 "http://purl.bdrc.io/resource/MW2KG210297" , "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang /" ,
 "http://purl.bdrc.io/resource/MW2KG5014" , "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang /" ,
 "http://purl.bdrc.io/resource/MW2KG5015" , "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang /" ,
 "http://purl.bdrc.io/resource/MW2KG210296" , "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang /" ,
 "http://purl.bdrc.io/resource/MW8LS75958" , "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang /" ,
 "http://purl.bdrc.io/resource/MW24121" , "http://purl.bdrc.io/resource/G3JT12577" , "gsang sngags nor bu'i gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW27502" , "http://purl.bdrc.io/resource/G3JT12577" , "gsang sngags nor bu'i gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2KG210299" , "http://purl.bdrc.io/resource/G2KG2220" , "glang dgon bkra shis chos gling /" ,
 "http://purl.bdrc.io/resource/MW30101" , "http://purl.bdrc.io/resource/G2CN10876" , "'bri gung yang ri sgar gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG9729" , "http://purl.bdrc.io/resource/G2CN10876" , "'bri gung yang ri sgar gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG22375" , "http://purl.bdrc.io/resource/G2CN10856" , "se ra sngags pa grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2KG208154" , "http://purl.bdrc.io/resource/G2CN10856" , "se ra sngags pa grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1GS136667" , "http://purl.bdrc.io/resource/G2CN10856" , "se ra sngags pa grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1NLM1253" , "http://purl.bdrc.io/resource/G1KR301" , "dga' ldan phun tshogs gling /" ,
 "http://purl.bdrc.io/resource/MW1KG8724" , "http://purl.bdrc.io/resource/G3JT12594" , "rnam rab dwags po grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW29514" , "http://purl.bdrc.io/resource/G3JT12594" , "rnam rab dwags po grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG9605" , "http://purl.bdrc.io/resource/G3JT12520" , "thub bstan bya rgod phung po'i par khang /" ,
 "http://purl.bdrc.io/resource/MW1CZ2331" , "http://purl.bdrc.io/resource/G3JT12520" , "thub bstan bya rgod phung po'i par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG22418" , "http://purl.bdrc.io/resource/G3JT12520" , "thub bstan bya rgod phung po'i par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG22419" , "http://purl.bdrc.io/resource/G3JT12520" , "thub bstan bya rgod phung po'i par khang /" ,
 "http://purl.bdrc.io/resource/MW19357" , "http://purl.bdrc.io/resource/G3JT12593" , "urga par khang /" ,
 "http://purl.bdrc.io/resource/MW5926" , "http://purl.bdrc.io/resource/G3JT12593" , "urga par khang /" ,
 "http://purl.bdrc.io/resource/MW2KG200149" , "http://purl.bdrc.io/resource/G3JT12593" , "urga par khang /" ,
 "http://purl.bdrc.io/resource/MW29468" , "http://purl.bdrc.io/resource/G3JT12593" , "urga par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7988" , "http://purl.bdrc.io/resource/G3JT12600" , "rdza steng dgon chen par khang /" ,
 "http://purl.bdrc.io/resource/MW10131" , "http://purl.bdrc.io/resource/G3JT12600" , "rdza steng dgon chen par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG10787" , "http://purl.bdrc.io/resource/G3JT12529" , "brag g.yab bu dgon gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW25273" , "http://purl.bdrc.io/resource/G3JT12529" , "brag g.yab bu dgon gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW23386" , "http://purl.bdrc.io/resource/G3JT12574" , "ku se gser ljongs kyi par khang /" ,
 "http://purl.bdrc.io/resource/MW24010" , "http://purl.bdrc.io/resource/G3JT12574" , "ku se gser ljongs kyi par khang /" ,
 "http://purl.bdrc.io/resource/MW13528" , "http://purl.bdrc.io/resource/G3JT12553" , "rong tha rwa nyag theg chen gling par khang /" ,
 "http://purl.bdrc.io/resource/MW21027" , "http://purl.bdrc.io/resource/G3JT12553" , "rong tha rwa nyag theg chen gling par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ41809" , "http://purl.bdrc.io/resource/G2CN10882" , "lho brag lha lung dgon gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ41808" , "http://purl.bdrc.io/resource/G2CN10882" , "lho brag lha lung dgon gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW1NLM1617" , "http://purl.bdrc.io/resource/G3JT12519" , "ri bo dge rgyas dga' ldan bshad sgrub gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ302694" , "http://purl.bdrc.io/resource/G3JT12519" , "ri bo dge rgyas dga' ldan bshad sgrub gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ302698" , "http://purl.bdrc.io/resource/G3JT12519" , "ri bo dge rgyas dga' ldan bshad sgrub gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1NLM1860" , "http://purl.bdrc.io/resource/G3JT12519" , "ri bo dge rgyas dga' ldan bshad sgrub gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1CZ1995" , "http://purl.bdrc.io/resource/G3JT12519" , "ri bo dge rgyas dga' ldan bshad sgrub gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG10740" , "http://purl.bdrc.io/resource/G3JT12528" , "'ja' za ri khrod bsam gling dgon gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW28792" , "http://purl.bdrc.io/resource/G3JT12590" , "lho brag gzhis kha'i par khang /" ,
 "http://purl.bdrc.io/resource/MW3CN22702" , "http://purl.bdrc.io/resource/G3JT12590" , "lho brag gzhis kha'i par khang /" ,
 "http://purl.bdrc.io/resource/MW4PD5184" , "http://purl.bdrc.io/resource/G3JT12590" , "lho brag gzhis kha'i par khang /" ,
 "http://purl.bdrc.io/resource/MW22709" , "http://purl.bdrc.io/resource/G3JT12561" , "thub bstan yang ri sgar gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW23421" , "http://purl.bdrc.io/resource/G3JT12569" , "bsam gtan bon gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ15391" , "http://purl.bdrc.io/resource/G2CN10897" , "rgyal rtse rdzong par khang /" ,
 "http://purl.bdrc.io/resource/MW14364" , "http://purl.bdrc.io/resource/G2CN10897" , "rgyal rtse rdzong par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG8752" , "http://purl.bdrc.io/resource/G3JT12546" , "bod kyi dpe mdzod kyi par khang /" ,
 "http://purl.bdrc.io/resource/MW2DB54922" , "http://purl.bdrc.io/resource/G3JT12546" , "bod kyi dpe mdzod kyi par khang /" ,
 "http://purl.bdrc.io/resource/MW23773" , "http://purl.bdrc.io/resource/G3JT12501" , "sman dgon thub bstan bde chen gling par khang /" ,
 "http://purl.bdrc.io/resource/MW10982" , "http://purl.bdrc.io/resource/G3JT12501" , "sman dgon thub bstan bde chen gling par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG4460" , "http://purl.bdrc.io/resource/G3JT12629" , "ka lim sbug" ,
 "http://purl.bdrc.io/resource/MW21947" , "http://purl.bdrc.io/resource/G3JT12557" , "lha lung chos kyi dga' tshal gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW23442" , "http://purl.bdrc.io/resource/G2CN10877" , "'bri gung thil gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW27552" , "http://purl.bdrc.io/resource/G2CN10877" , "'bri gung thil gyi par khang /" ,
 "http://purl.bdrc.io/resource/MW30179" , "http://purl.bdrc.io/resource/G3JT12606" , "dga' ldan byang rtse thos bsam nor gling grwa tshang gi par khang /" ,
