 "mw" , "pub" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000352" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000232" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000216" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000332" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW3CN8772" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW3CN15703" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ346647" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW3CN17720" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ315281" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW3CN15704" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW8LS66224" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW3CN15702" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ364096" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW1CZ2280" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ354982" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ299959" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW1KG4847" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW1KG4937" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7993" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW8LS26203" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW1KG4524" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW3CN17730" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW1KG4783" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW1CZ2258" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW3CN17736" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ299960" , "ser smad dpe mdzod khang /" ,
 "http://purl.bdrc.io/resource/MW1KG3791" , "ngag dbang blo bzang /" ,
 "http://purl.bdrc.io/resource/MW1KG9088" , "don grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW4CZ1098" , "tshe ring /" ,
 "http://purl.bdrc.io/resource/MW8LS66299" , "bkras khang rnam rgyal rdo rje/" ,
 "http://purl.bdrc.io/resource/MW1KG23516" , "ngag dbang bstan skyong /" ,
 "http://purl.bdrc.io/resource/MW23625" , "tsering paljor" ,
 "http://purl.bdrc.io/resource/MW14557" , "tsering paljor" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000464" , "rdo rje tshe bstan/" ,
 "http://purl.bdrc.io/resource/MW2KG5007" , "sbyin pa rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW8LS36530" , "mkha' mo skyid/" ,
 "http://purl.bdrc.io/resource/MW29224" , "u ra mgon po tshe ring /" ,
 "http://purl.bdrc.io/resource/MW1KG17425" , "gyonpo tshering" ,
 "http://purl.bdrc.io/resource/MW8LS34523" , "bla brang skal bzang /" ,
 "http://purl.bdrc.io/resource/MW1KG22410" , "ngag dbang bkra shis/" ,
 "http://purl.bdrc.io/resource/MW1KG3867" , "karma 'phrin las/" ,
 "http://purl.bdrc.io/resource/MW8LS17345" , "dpal ldan/" ,
 "http://purl.bdrc.io/resource/MW1KG23132" , "gyaltsen choden" ,
 "http://purl.bdrc.io/resource/MW30067" , "thub bstan shes rab/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001193" , "ka shul bsod nams rin chen/" ,
 "http://purl.bdrc.io/resource/MW1KG22548" , "dpal ldan rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002305" , "sbrang char rtsom sgrig khang /" ,
 "http://purl.bdrc.io/resource/MW3PD1100" , "mkhan po o rgyan rig 'dzin/" ,
 "http://purl.bdrc.io/resource/MW1KG22191" , "karma mkhas grub/" ,
 "http://purl.bdrc.io/resource/MW4CZ328559" , "rag rdo blo bzang bstan 'dzin/" ,
 "http://purl.bdrc.io/resource/MW2KG210275" , "blo bzang skal bzang rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1KG22271" , "pad+ma tshe dbang /" ,
 "http://purl.bdrc.io/resource/MW1KG13791" , "pad+ma tshe dbang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002848" , "dar thang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001269" , "rgyal mo 'brug pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001270" , "rgyal mo 'brug pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001317" , "'jam dbyangs mkhyen brtse/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001318" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002630" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002127" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002874" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001447" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002529" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002791" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002745" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002752" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001760" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002810" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002971" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002536" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002124" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003029" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003030" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002932" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002076" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002964" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003040" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002738" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001641" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002720" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002587" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001569" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002597" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001788" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001627" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003023" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002604" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002539" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002733" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002176" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001676" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003011" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001766" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001780" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002684" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002762" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002494" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002742" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001525" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002948" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002455" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002650" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002610" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002623" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002865" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002787" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001454" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002825" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002847" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002890" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003092" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002879" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002603" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002470" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003319" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002739" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002592" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001675" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002775" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001453" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002625" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002584" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003121" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001762" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002126" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003006" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001498" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002927" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002620" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001716" , "gsal kha med/" ,
