location_orig,location_new,name_orig,name_new,url
new delhi,Delhi,ngawang zopa,ngawang zopa,https://www.tbrc.org/#!rid=W23873
new delhi,Delhi,b. jamyang norbu,b. jamyang norbu,https://www.tbrc.org/#!rid=W30348
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W1KG4205
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W7371
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W20913
new delhi,Delhi,nawang sopa,nawang sopa,https://www.tbrc.org/#!rid=W4CZ48546
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W10234
new delhi,Delhi,sanje dorje,sanje dorje,https://www.tbrc.org/#!rid=W30283
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W1KG9788
new delhi,Delhi,[s.n.],[s.n.],https://www.tbrc.org/#!rid=W10347
new delhi,Delhi,rta-rna bla-ma,rta-rna bla-ma,https://www.tbrc.org/#!rid=W30293
new delhi,Delhi,mongolian lama guru deva,mongolian lama guru deva,https://www.tbrc.org/#!rid=W29045
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W21511
new delhi,Delhi,[s.n.],[s.n.],https://www.tbrc.org/#!rid=W8223
new delhi,Delhi,s. khedup,s. khedup,https://www.tbrc.org/#!rid=W22126
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W14322
new delhi,Delhi,nawang sopa,nawang sopa,https://www.tbrc.org/#!rid=W29689
new delhi,Delhi,ngawang zopa,ngawang zopa,https://www.tbrc.org/#!rid=W25105
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W19357
new delhi,Delhi,sanje dorje,sanje dorje,https://www.tbrc.org/#!rid=W8871
new delhi,Delhi,n.g. demo,n.g. demo,https://www.tbrc.org/#!rid=W23800
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W22737
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W1KG8718
new delhi,Delhi,sterling publishers,sterling publishers,https://www.tbrc.org/#!rid=W1GS60864
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W21793
new delhi,Delhi,trayang,trayang,https://www.tbrc.org/#!rid=W6206
new delhi,Delhi,ngagwang gelek demo,ngagwang gelek demo,https://www.tbrc.org/#!rid=W22111
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W22110
new delhi,Delhi,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W27888
new delhi,Delhi,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W27884
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W11818
new delhi,Delhi,lha mkhar yongs 'dzin bstan pa rgyal mtshan/,lha mkhar yongs 'dzin bstan pa rgyal mtshan/,https://www.tbrc.org/#!rid=W30178
new delhi,Delhi,chophel legdan,chophel legdan,https://www.tbrc.org/#!rid=W12422
new delhi,Delhi,ngawang topgyal,ngawang topgyal,https://www.tbrc.org/#!rid=W1KG1059
new delhi,Delhi,gyur med bshad sgrub dar rgyas/,gyur med bshad sgrub dar rgyas/,https://www.tbrc.org/#!rid=W2CZ7877
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W30450
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W30455
new delhi,Delhi,l. tashi,l. tashi,https://www.tbrc.org/#!rid=W1PD177854
new delhi,Delhi,janser tenzin,janser tenzin,https://www.tbrc.org/#!rid=W2CZ5022
new delhi,Delhi,ugyan dorje,ugyan dorje,https://www.tbrc.org/#!rid=W30460
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W11886
new delhi,Delhi,ngawang topgye,ngawang topgye,https://www.tbrc.org/#!rid=W27917
new delhi,Delhi,n. sopa,n. sopa,https://www.tbrc.org/#!rid=W13528
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W30103
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W22914
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W1KG9730
new delhi,Delhi,aditya prakashan,aditya prakashan,https://www.tbrc.org/#!rid=W25058
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W7494
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W29252
new delhi,Delhi,t.g. dhongthog rimpoche,t.g. dhongthog rimpoche,https://www.tbrc.org/#!rid=W1KG12547
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W29227
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W1KG9841
new delhi,Delhi,chophel legdan,chophel legdan,https://www.tbrc.org/#!rid=W23776
new delhi,Delhi,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W2CZ8020
new delhi,Delhi,western tibetan cultural association,western tibetan cultural association,https://www.tbrc.org/#!rid=W1KG20931
new delhi,Delhi,tsering dorma gelek,tsering dorma gelek,https://www.tbrc.org/#!rid=W30287
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W30286
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W2CZ8088
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W940
new delhi,Delhi,chos 'phel legs ldan/,chos 'phel legs ldan/,https://www.tbrc.org/#!rid=W30294
new delhi,Delhi,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W23430
new delhi,Delhi,khasdub gyatsho shashin,khasdub gyatsho shashin,https://www.tbrc.org/#!rid=W21023
new delhi,Delhi,getse trulku kunga lodoy,getse trulku kunga lodoy,https://www.tbrc.org/#!rid=W30266
new delhi,Delhi,shechen publications ; tsering art school,shechen publications ; tsering art school,https://www.tbrc.org/#!rid=W29509
new delhi,Delhi,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W23549
new delhi,Delhi,nawang sopa,nawang sopa,https://www.tbrc.org/#!rid=W14457
new delhi,Delhi,t.g. dhongthog rinpoche,t.g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W22122
new delhi,Delhi,lama guru deva,lama guru deva,https://www.tbrc.org/#!rid=W1KG3819
