location_orig,GID,name_orig,name_new,url
new delhi,G0DD0028,chos 'phel legs ldan/,chos 'phel legs ldan/,https://www.tbrc.org/#!rid=W30294
new delhi,G0DD0028,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W23430
new delhi,G0DD0028,khasdub gyatsho shashin,khasdub gyatsho shashin,https://www.tbrc.org/#!rid=W21023
new delhi,G0DD0028,getse trulku kunga lodoy,getse trulku kunga lodoy,https://www.tbrc.org/#!rid=W30266
new delhi,G0DD0028,shechen publications ; tsering art school,shechen publications ; tsering art school,https://www.tbrc.org/#!rid=W29509
new delhi,G0DD0028,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W23549
new delhi,G0DD0028,nawang sopa,nawang sopa,https://www.tbrc.org/#!rid=W14457
new delhi,G0DD0028,t.g. dhongthog rinpoche,t.g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W22122
new delhi,G0DD0028,lama guru deva,lama guru deva,https://www.tbrc.org/#!rid=W1KG3819
new delhi,G0DD0028,western tibetan cultural association,western tibetan cultural association,https://www.tbrc.org/#!rid=W1KG12979
new delhi,G0DD0028,jamyang samten,jamyang samten,https://www.tbrc.org/#!rid=W23215
new delhi,G0DD0028,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W1KG9408
new delhi,G0DD0028,stag-lun ma rin-po-che,stag-lun ma rin-po-che,https://www.tbrc.org/#!rid=W1KG12220
new delhi,G0DD0028,rta rna bla ma/,rta rna bla ma/,https://www.tbrc.org/#!rid=W1KG9799
new delhi,G0DD0028,chophel legdan,chophel legdan,https://www.tbrc.org/#!rid=W30167
new delhi,G0DD0028,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W1KG12962
new delhi,G0DD0028,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W2046
new delhi,G0DD0028,mongolian lama gurudeva on behalf of geshe lobsang tharchin,mongolian lama gurudeva on behalf of geshe lobsang tharchin,https://www.tbrc.org/#!rid=W1KG8833
new delhi,G0DD0028,ngawang topgyay,ngawang topgyay,https://www.tbrc.org/#!rid=W27516
new delhi,G0DD0028,t.g. dhongthog rinpoche,t.g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W23816
new delhi,G0DD0028,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W30182
new delhi,G0DD0028,tibet house,tibet house,https://www.tbrc.org/#!rid=W30181
new delhi,G0DD0028,dil+lI bod kyi gros tshogs dang srid byus nyams zhib khang /,dil+lI bod kyi gros tshogs dang srid byus nyams zhib khang /,https://www.tbrc.org/#!rid=W1KG21021
new delhi,G0DD0028,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W1KG10237
new delhi,G0DD0028,tibet house,tibet house,https://www.tbrc.org/#!rid=W1KG11694
new delhi,G0DD0028,t.g. dhongthog rinpoche,t.g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W1KG3706
new delhi,G0DD0028,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W23609
new delhi,G0DD0028,[s.n.],[s.n.],https://www.tbrc.org/#!rid=W1KG10597
new delhi,G0DD0028,yonten gyatso,yonten gyatso,https://www.tbrc.org/#!rid=W00EGS1017303
new delhi,G0DD0028,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W23893
new delhi,G0DD0028,t. g. dhongthog,t. g. dhongthog,https://www.tbrc.org/#!rid=W10311
new delhi,G0DD0028,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W12362
new delhi,G0DD0028,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W23881
new delhi,G0DD0028,d. gyaltsan & k. legshay,d. gyaltsan & k. legshay,https://www.tbrc.org/#!rid=W20503
new delhi,G0DD0028,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W23610
new delhi,G0DD0028,chophel legden,chophel legden,https://www.tbrc.org/#!rid=W1KG12783
new delhi,G0DD0028,ngawang topgya,ngawang topgya,https://www.tbrc.org/#!rid=W1KG21931
new delhi,G0DD0028,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W1KG13104
