Goicang	rgong tshang	古昌	Guchang
Goicangdoi	rgod tshang stod	果仓多	Guocangduo
Goicangmai	rgod tshang smad	果仓灵	Guocanglin
Goinbalhau	dgon pa lha'u	贡巴楼	Gongbalou
Goindoi	dgon stod	岗堆	Gangdui
Goin'gyibug	dgon skyid sbug	贡久布	Gongjiubu
Gojag	ko lcag	郭加	Guojia
Golag	mgo lag	古拉	Gula
Golung	ko lung	古路	Gulu
Gomai	sgo smad	郭梅	Guomei
Gomang	sgo mang	公莽	Gongmang
Gongbo'gyamda	kong po rgya mda'	工布江达	Gongbujiangda
Gongqên	kong chen	公前	Gongqian
Gongri	kong ri	贡日	Gongri
Gongzhu	kong 'brug	贡珠	Gongzhu
Goqung	ko chung	鸽群	Gequn
Goxiga	sgo gzhis ka	郭西卡	Guoxika
Goxung	sgo gzhung	果雄	Guoxiong
Goyü	mgo yul	古玉	Guyu
Gozug	sgo gtsug	果祖	Guozu
Gumig	sku mig	古米	Gumi
Günkardoi	kun mkhar stod	贡卡堆	Gongkadui
Guqen	sku chen	古建	Gujian
Gurkug	sgur khug	高口	Gaokou
Guro	'gu ro	俄洛	Eluo
Gurum	rgu rum	古荣	Gurong
Gutang	dgu thang	格当	Gedang
Guxiang	dgu shang	古乡	Gu
Gyaca	rgya cha	加查	Jiacha
Gyaca	rgya tsha	加查	Jiacha
Gyaco	brgya tsho	加措	Jiacuo
Gyaco	rgya mtsho	甲措	Jiacuo
Gyacoxung	rgya mtsho gzhung	甲措雄	Jiacuoxiong
Gyagog	rgya sgog	甲谷	Jiagu
Gya'gya	skya skya	加加	Jiajia
Gyaidar	rgyas dar	格达	Geda
Gyailing	rgyal gling	结林	Jielin
Gyaimain	rgyas sman	加麻	Jiama
Gyaiqên	rgyal chen	加勤	Jiaqin
Gyairab	rgyal rab	加绕	Jiarao
Gyaiwo	rgyal ba	甲瓦	Jiawa
Gyalam	rgya lam	加朗	Jialang
Gyama	rgya ma	甲马	Jiama
Gyamco	rgya mtsho	甲措	Jiacuo
Gyamda	rgya mda'	江达	Jiangda
Gyamug	rgya smug	加莫	Jiamu
Gyanbê	skya 'bel	相皮	Xiangpi
Gyangcang	skyung tshang	军仓	Juncang
Gyangkar	rgyal mkhar	江嘎	Jiangga
Gyangngog	rkyang rngog	加傲	Jia'ao
Gyangzê	rgyal rtse	江孜	Jiangzi
Gyangzê	rgyal rtse	江孜	Jiangzi
Gyaqên	rgya chen	甲庆	Jiaqing
Gyara	rgya ra	加热	Jiare
Gyari	rgya ri	甲日	Jiari
Gyari	skya ri	夏里	Xiali
Gyarong	skya rong	加荣	Jiarong
Gyaxing	rgya shing	加兴	Jiaxing
Gyazhugling	rgya drug gling	甲竹林	Jiazhulin
Gyêda	skye mda'	吉达	Jida
Gyêma	skye ma	吉玛	Jima
Gyêmdong	skyems stong	金东	Jindong
Gyêrba	sker pa	结巴	Jieba
Gyêwa	skyel ba	吉瓦	Jiwa
Gyiba	skyid pa	基巴	Jiba
Gyidoi	sgyid stod	吉堆	Jidui
Gyina	skyid nags	吉纳	Jina
Gyinkar	dkyil mkhar	金嘎	Jinga
Gyirai	skyid ras	吉日	Jiri
Gyirai	skyid ras	吉日	Jiri
Gyirong	skyid grong	吉隆	Jilong
Gyirong	skyid grong	吉隆	Jilong
Gyiru	dkyil ru	吉汝	Jiru
Gyitang	skyid thang	吉让	Jirang
Gyitang	dkyil thang	吉塘	Jitang
