 "placeid" , "placename" ,
 "http://purl.bdrc.io/resource/G3804" , "skyid dgon dga' ldan chos gling" ,
 "http://purl.bdrc.io/resource/G3804" , "mi nyag skyid legs khul dga' ldan chos gling" ,
 "http://purl.bdrc.io/resource/G3804" , "rA tI dga' ldan byams pa gling (sngar ming)" ,
 "http://purl.bdrc.io/resource/G1720" , 阿什姜贾贡寺 ,
 "http://purl.bdrc.io/resource/G1720" , "a skyong yar thang dgon/" ,
 "http://purl.bdrc.io/resource/G1720" , "a skyong rgya dgon pa mdo sngags bshad sgrub gling" ,
 "http://purl.bdrc.io/resource/G1720" , "yar thang rgya dgon pa/" ,
 "http://purl.bdrc.io/resource/G1720" , "a skyong rgya dgon pa nges don rtag brtan bshad sgrub 'phel rgyas gling" ,
 "http://purl.bdrc.io/resource/G1720" , "Akyong Yartang" ,
 "http://purl.bdrc.io/resource/G1720" , "a skyong yar thang dgon nges don bshad sgrub gling" ,
 "http://purl.bdrc.io/resource/G1720" , "ashi jiangjia gong si" ,
 "http://purl.bdrc.io/resource/G1720" , 江日堂贾贡巴 ,
 "http://purl.bdrc.io/resource/G1720" , "Yartang Gya Gonpa" ,
 "http://purl.bdrc.io/resource/G1720" , "brag dkar mgo dgon/" ,
 "http://purl.bdrc.io/resource/G1390" , "dwags po/" ,
 "http://purl.bdrc.io/resource/G244" , "bo dong e dgon pa/" ,
 "http://purl.bdrc.io/resource/G244" , 博东俄寺 ,
 "http://purl.bdrc.io/resource/G244" , "Bodong E Gonpa" ,
 "http://purl.bdrc.io/resource/G244" , "bodong e si" ,
 "http://purl.bdrc.io/resource/G245" , "Dreyul Kyetsal" ,
 "http://purl.bdrc.io/resource/G245" , "'bras yul skyed tshal dgon/" ,
 "http://purl.bdrc.io/resource/G245" , "skyed tshal/" ,
 "http://purl.bdrc.io/resource/G211" , "ngor dgon pa/" ,
 "http://purl.bdrc.io/resource/G211" , "Ngor Evam Choden" ,
 "http://purl.bdrc.io/resource/G211" , 俄尔寺 ,
 "http://purl.bdrc.io/resource/G211" , "ngor e waM chos ldan/" ,
 "http://purl.bdrc.io/resource/G211" , "e waM chos ldan/" ,
 "http://purl.bdrc.io/resource/G211" , "Ngor Gonpa" ,
 "http://purl.bdrc.io/resource/G211" , "e-er si" ,
 "http://purl.bdrc.io/resource/G211" , "aiwang quedan si" ,
 "http://purl.bdrc.io/resource/G211" , 艾旺却丹寺 ,
 "http://purl.bdrc.io/resource/G232" , "Sakya Puntsok Podrang" ,
 "http://purl.bdrc.io/resource/G232" , "phun tshogs pho brang" ,
 "http://purl.bdrc.io/resource/G232" , "sa skya phun tshogs pho brang" ,
